recipe_id,name,preptime,calories,labels,
10038,Melting Moments I,null,141,dessert,
10091,Dora's Christmas Cookies,null,214,dessert,
10405,Lemon Coolers,null,108,fruit,
10682,Baby Ruth Cookies,null,190,dessert,
10837,Triple Chocolate Chip Cookies,null,502,"dessert,vegetable,spice or herb",
10888,Irish Potatoes,null,38,null,
10891,Peanut Butter Chip Cookies I,null,214,"dessert,nut,cooking fat,vegetable",
11058,Buttercream Icing,15 m,181,sugar,
11159,Banana Pudding Sugar Cookies,2 h 35 m,113,"fruit,sugar,dessert",
11448,Noel Crisps,null,191,bread,
11921,Fresh Spinach and Sun-Dried Tomato Lasagna,null,655,"pasta,vegetable",
12702,Fried Squid with Pineapple (Muc Xao Thom),20 m,330,null,
13024,Italian Wedding Soup I,50 m,416,soup,
13062,Cheeseburger Soup I,50 m,411,soup,
13240,Westcoast Style Clam Chowder,null,213,"soup,seafood",
13764,Pudding or Pie Filling,15 m,155,"sugar,dessert",
13924,Barley Salad With Almonds And Apricots,1 h 25 m,187,"fruit,nut,vegetable,grain",
14176,Cucumber and Tomato Salad,15 m,98,null,
14518,Grilled Chicken Quesadillas,1 h 5 m,851,"poultry,wrapped meal",
14684,Slow Cooker London Broil,10 h 10 m,198,meat,
14937,Duke,2 h 5 m,144,null,
15004,Award Winning Soft Chocolate Chip Cookies,1 h 40 m,177,"dessert,vegetable,spice or herb",
15048,Banana Split Cookies,1 h 35 m,110,"fruit,dessert",
15660,Strawberry Daiquiri Pie,null,305,"fruit,sugar,dessert",
15941,Apple Pie IV,null,279,"fruit,sugar,dessert",
16390,Tricia's Fantastic Fudge Pie,null,426,null,
16589,Creolized Stuffed Chicken Breasts,1 h,553,null,
16608,Celery Chicken a la Koch,1 h,874,"poultry,vegetable",
16752,Creamy Bacon Dip,6 h 15 m,1271,"dairy,meat,sauce,fat and vitamins",
16937,Slow Cooker Calico Bean Soup,12 h,234,null,
17851,Pineapple Cherry Cake,50 m,142,"fruit,dessert",
18198,Sour Cream Raisin Pie V,null,436,"dairy,fruit,fat and vitamins,sugar,dessert",
18343,Tomato and Zucchini Melange,10 m,47,vegetable,
18473,Pie Crust V,45 m,210,"dessert,grain,sugar",
18913,Slow Cooker Sweet Potato Casserole,4 h 30 m,406,"vegetable,pasta dish",
19424,Macaroni and Cheese Bake,35 m,316,"pasta,cheese,dairy,0",
19489,Maryland Crab Cakes II,35 m,211,"seafood,dessert",
19515,Stuffed Fish in Puff Pastry,1 h 35 m,613,"dessert,sugar,fish",
20978,Eastern North Carolina Barbeque Sauce,3 h 10 m,17,"sauce,meat",
21325,Tuna Melts,25 m,483,fish,
25829,Spring Cleaning Cookies,35 m,144,dessert,
30115,Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,30 m,505,"dairy,poultry,meat,cheese,vegetable",
32582,Frozen Almond,10 m,null,nut,
36397,Florida Strawberry Muffins,30 m,168,"breakfast,fruit,grain",
37403,Tarragon Vegetables,null,null,"spice or herb,vegetable",
38931,Apple Cinnamon Pecan Cake,1 h 25 m,238,"nut,fruit,spice or herb,dessert",
42486,Cajun Chicken Club,null,null,poultry,
150861,Bourbon Apple Manhattan,5 m,116,"fruit,alcoholic",
151127,Spicy Texas Pecans,10 m,171,"nut,spicy",
151200,Jimmy Dean Zesty Fiesta Sausage Dip,null,null,"meat,sauce",
155182,Pfeffernusse Cookies,3 h,284,dessert,
156791,Black-Eyed Pea and Jalapeno Salsa,10 m,36,"vegetable,sauce,spicy",
159391,Easy Garlic Escargots,45 m,86,spice or herb,
160139,Simply Potatoes® Chicken Pot Pie,1 h 20 m,391,"sugar,poultry,dessert",
161968,Multi Grain Pilaf,null,236,grain,
163048,"Lamb, Carrot, and White Bean Curry Stew",1 h,457,"soup,pasta dish,main protein",
164484,Fireman's Sour,5 m,null,null,
164572,Jewish Apple Cake,3 h 50 m,545,"fruit,dessert",
165843,Beef and Lentil Soup,2 h 15 m,343,"soup,meat,main protein",
165947,Fruit Salad with Sparkling Gelatin Cubes,3 h 15 m,77,"vegetable,fruit,cooking fat",
167042,Buddy's and Bubba's Homemade Dog Food,2 h 15 m,null,"meat,mixture",
167538,Quick Posole,30 m,206,null,
167767,Cucumbers and Cottage Cheese,5 m,124,"vegetable,cheese,dairy,fat and vitamins",
169097,Rubbed Roast Chicken with Peaches,50 m,337,"fruit,poultry,meat",
171312,Grilled Pineapple Rings with Ice Cream,25 m,430,"fat and vitamins,fruit,dairy,cooking liquid",
171917,Jasmine Rice Pudding with Toasted Coconut,1 h 40 m,176,"sugar,grain,fruit,dessert",
172503,Peanut Butter Cookie Candy Bars,2 h 30 m,271,"sugar,nut,dessert,cooking fat",
172891,California Almond Butter Popcorn,10 m,175,"grain,nut,cooking fat",
174386,Homemade Biscuit Mix,15 m,148,"bread,mixture",
177535,Cheese Tortellini with Prego® Roasted Garlic and Herb Sauce ,45 m,1442,"spice or herb,cheese,pasta dish,sauce,dairy",
178498,Mushroom Slow Cooker Roast Beef,9 h 5 m,388,"vegetable,meat",
179706,Grandma's Rice,1 h 15 m,421,grain,
179711,Kim's Cherry Chocolate Chip Bars,null,250,"vegetable,fruit,dessert,spice or herb",
180498,Big Mama's Fruit Dip,2 h 5 m,177,"fruit,sauce",
181187,Baked Cod Fillets with Italian Dressing,15 m,155,"fish,condiment",
181198,Slow Cooker Chicken Curry,10 h 20 m,186,"pasta dish,poultry",
181207,Monster Coffin Cake,20 m,190,dessert,
182059,Turkey and Stuffing Casserole,50 m,null,"bread,pasta dish,poultry",
185109,Cranberry-Maple Sausage Skillet,30 m,null,"sugar,fruit,meat",
187094,Chorizo and Egg Toppers,5 m,130,"baking ingredient,meat,breakfast",
189750,Marinated Shrimp in Lemon-Dill Sauce,8 h 10 m,80,"fruit,sauce,spice or herb,seafood",
193096,Cucumber Salad,15 m,42,vegetable,
193733,Cheddary Garlic Mashed Potatoes,15 m,352,"vegetable,spice or herb",
193831,BREAKSTONE'S Creamy Layered Enchilada Bake,1 h 10 m,482,"dairy,fat and vitamins,wrapped meal",
