id,name,calories,preptime,labels
10038,Melting Moments I,141,null,dessert
10091,Dora's Christmas Cookies,214,null,dessert
10405,Lemon Coolers,108,null,fruit
10636,Barbara Bush's Chocolate Chips,152,null,"spice or herb,"
10682,Baby Ruth Cookies,190,null,dessert
10837,Triple Chocolate Chip Cookies,502,null,"dessert,vegetable,spice or herb"
10888,Irish Potatoes,38,null,vegetable
10891,Peanut Butter Chip Cookies I,214,null,"dessert,nut,cooking fat,vegetable"
11058,Buttercream Icing,181,15 m,sugar
11159,Banana Pudding Sugar Cookies,113,2 h 35 m,"fruit,sugar,dessert"
11448,Noel Crisps,191,null,bread
11921,Fresh Spinach and Sun-Dried Tomato Lasagna,655,null,"pasta,vegetable"
12039,Johnny Marzetti III,553,1 h 10 m,pasta dish
12702,Fried Squid with Pineapple (Muc Xao Thom),330,20 m,"seafood,fruit"
13024,Italian Wedding Soup I,416,50 m,soup
13062,Cheeseburger Soup I,411,50 m,soup
13240,Westcoast Style Clam Chowder,213,null,"soup,seafood"
13465,Walnut Pumpkin Pie,459,50 m,"dessert,vegetable,nut,sugar"
13764,Pudding or Pie Filling,155,15 m,"sugar,dessert"
13924,Barley Salad With Almonds And Apricots,187,1 h 25 m,"fruit,nut,vegetable,grain"
14176,Cucumber and Tomato Salad,98,15 m,vegetable
14518,Grilled Chicken Quesadillas,851,1 h 5 m,"poultry,wrapped meal"
14684,Slow Cooker London Broil,198,10 h 10 m,meat
14937,Duke,144,2 h 5 m,null
15004,Award Winning Soft Chocolate Chip Cookies,177,1 h 40 m,"dessert,vegetable,spice or herb"
15048,Banana Split Cookies,110,1 h 35 m,"fruit,dessert"
15660,Strawberry Daiquiri Pie,305,null,"fruit,sugar,dessert"
15941,Apple Pie IV,279,null,"fruit,sugar,dessert"
16390,Tricia's Fantastic Fudge Pie,426,null,"dessert,sugar"
16589,Creolized Stuffed Chicken Breasts,553,1 h,poultry
16608,Celery Chicken a la Koch,874,1 h,"poultry,vegetable"
16752,Creamy Bacon Dip,1271,6 h 15 m,"dairy,meat,sauce"
16937,Slow Cooker Calico Bean Soup,234,12 h,"soup,main protein"
17851,Pineapple Cherry Cake,142,50 m,"fruit,dessert"
18090,Caribbean Cook Up,491,50 m,null
18198,Sour Cream Raisin Pie V,436,null,"dairy,fruit,fat and vitamins,sugar,dessert"
18343,Tomato and Zucchini Melange,47,10 m,vegetable
18473,Pie Crust V,210,45 m,"dessert,grain,sugar"
18913,Slow Cooker Sweet Potato Casserole,406,4 h 30 m,"vegetable,pasta dish"
19252,Crunchy Munchies,82,30 m,null
19424,Macaroni and Cheese Bake,316,35 m,"pasta,cheese,dairy"
19477,Dorsey's Fried Oysters,168,25 m,seafood
19489,Maryland Crab Cakes II,211,35 m,"seafood,dessert"
19515,Stuffed Fish in Puff Pastry,613,1 h 35 m,"dessert,sugar,fish"
19519,Tequila Cocktail Sauce,66,10 m,"sauce,alcoholic"
20978,Eastern North Carolina Barbeque Sauce,17,3 h 10 m,"sauce,meat"
21325,Tuna Melts,483,25 m,fish
25829,Spring Cleaning Cookies,144,35 m,dessert
30115,Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,505,30 m,"dairy,poultry,meat,cheese,vegetable"
32582,Frozen Almond,0,10 m,nut
36397,Florida Strawberry Muffins,168,30 m,"breakfast,fruit,grain"
37403,Tarragon Vegetables,0,null,"spice or herb,vegetable"
38931,Apple Cinnamon Pecan Cake,238,1 h 25 m,"nut,fruit,spice or herb,dessert"
42486,Cajun Chicken Club,0,null,poultry
150861,Bourbon Apple Manhattan,116,5 m,"fruit,alcoholic"
151127,Spicy Texas Pecans,171,10 m,"nut,spicy"
151200,Jimmy Dean Zesty Fiesta Sausage Dip,0,null,"meat,sauce"
155182,Pfeffernusse Cookies,284,3 h,dessert
156791,Black-Eyed Pea and Jalapeno Salsa,36,10 m,"vegetable,sauce,spicy"
159391,Easy Garlic Escargots,86,45 m,spice or herb
160139,Simply Potatoes® Chicken Pot Pie,391,1 h 20 m,"sugar,poultry,dessert"
161968,Multi Grain Pilaf,236,null,grain
163048,"Lamb, Carrot, and White Bean Curry Stew",457,1 h,"soup,pasta dish,main protein"
164484,Fireman's Sour,0,5 m,null
164572,Jewish Apple Cake,545,3 h 50 m,"fruit,dessert"
165843,Beef and Lentil Soup,343,2 h 15 m,"soup,meat,main protein"
165947,Fruit Salad with Sparkling Gelatin Cubes,77,3 h 15 m,"vegetable,fruit,cooking fat"
167042,Buddy's and Bubba's Homemade Dog Food,0,2 h 15 m,"meat,mixture"
167538,Quick Posole,206,30 m,null
167767,Cucumbers and Cottage Cheese,124,5 m,"vegetable,cheese,dairy"
169097,Rubbed Roast Chicken with Peaches,337,50 m,"fruit,poultry,meat"
171312,Grilled Pineapple Rings with Ice Cream,430,25 m,"fat and vitamins,fruit,dairy,cooking liquid"
171917,Jasmine Rice Pudding with Toasted Coconut,176,1 h 40 m,"sugar,grain,fruit,dessert"
172503,Peanut Butter Cookie Candy Bars,271,2 h 30 m,"sugar,nut,dessert,cooking fat"
172891,California Almond Butter Popcorn,175,10 m,"grain,nut,cooking fat"
174386,Homemade Biscuit Mix,148,15 m,"bread,mixture"
177535,Cheese Tortellini with Prego® Roasted Garlic and Herb Sauce ,1442,45 m,"spice or herb,cheese,pasta dish"
178498,Mushroom Slow Cooker Roast Beef,388,9 h 5 m,"vegetable,meat"
179706,Grandma's Rice,421,1 h 15 m,grain
179711,Kim's Cherry Chocolate Chip Bars,250,null,"vegetable,fruit,dessert,spice or herb"
180498,Big Mama's Fruit Dip,177,2 h 5 m,"fruit,sauce"
181187,Baked Cod Fillets with Italian Dressing,155,15 m,"fish,condiment"
181198,Slow Cooker Chicken Curry,186,10 h 20 m,"pasta dish,poultry"
181207,Monster Coffin Cake,190,20 m,dessert
182059,Turkey and Stuffing Casserole,0,50 m,"bread,pasta dish,poultry"
185109,Cranberry-Maple Sausage Skillet,0,30 m,"sugar,fruit,meat"
187094,Chorizo and Egg Toppers,130,5 m,"baking ingredient,meat,breakfast"
189750,Marinated Shrimp in Lemon-Dill Sauce,80,8 h 10 m,"fruit,sauce,spice or herb,seafood"
193096,Cucumber Salad,42,15 m,vegetable
193733,Cheddary Garlic Mashed Potatoes,352,15 m,"vegetable,spice or herb"
193831,BREAKSTONE'S Creamy Layered Enchilada Bake,482,1 h 10 m,"dairy,fat and vitamins,wrapped meal"
218480,Beef Shish Kebabs for Freezer Cooking,302,30 m,null
220086,Johnsonville Italian Sausage Sliders,623,null,null
222434,Coconut-Pineapple Paletas (Mexican Ice Pop),185,4 h 10 m,fruit
237823,BFF Smoothie,335,10 m,null
255391,Falafel-Crusted Cauliflower,162,30 m,vegetable
255726,Leeky Butternut Squash with Sage Sausage,351,47 m,"spice or herb,meat,vegetable"
259055,Monster Cookie Pancakes,609,24 m,breakfast
259757,Chicken Fajitas With Colored Peppers,498,1 h 15 m,"vegetable,wrapped meal"
260406,Paleo Coconut Macaroons,46,31 m,"dessert,sugar"
261095,Pretzel Fudge Pie,633,2 h 6 m,"dessert,sugar"
262289,Vegan Baked Onion Rings,213,35 m,null
262608,Cypriot Tahini Pies with Orange Flavor,316,2 h 18 m,"sauce,fruit"
263774,Mini Frittatas with Hillshire Farm® Smoked Sausage and Potato,191,1 h,"vegetable dish,vegetable"
265822,Beef Tri-Tip Marinade,65,10 m,condiment
268000,Ground Chicken Patties or Meatballs,127,35 m,poultry
268001,Simple Salad with Halloumi,273,8 m,null
268005,Ground Chicken Meatballs with Sweet Peanut Sauce,502,25 m,"sauce,poultry,nut"
268015,Instant Pot® Mashed Sweet Potatoes with Goat Cheese,186,35 m,"cheese,dairy"
268021,Chipotle Cauliflower 'Rice',60,30 m,null
268028,Instant Pot® Spinach Crab Dip,195,45 m,"vegetable,sauce"
268030,Garlic-Ginger Roasted Spaghetti Squash,171,1 h 15 m,"pasta dish,spice or herb"
268097,Instant Pot® Sausage Dressing,608,40 m,condiment
268108,Orange-Flavored Sugar,80,5 m,"fruit,sugar"
268113,Lemon Cake Pops from Scratch,361,4 h 45 m,dessert
268116,Egyptian Okra,110,30 m,null
268131,Baked Pork Chops with Sweet Potatoes and Apple,404,50 m,"fruit,vegetable"
268135,Scrambled Eggs with Salmon and Pesto,334,25 m,"fish,breakfast,condiment"
268142,Lite Corn Pudding ,185,50 m,"dessert,grain"
268148,Christmas Pizza Appetizer,219,1 h 25 m,null
268185,Sexy Air-Fried Meatloaf,272,1 d 55 m,null
268187,Slow Cooker Chicken Lettuce Wraps,268,3 h 30 m,"poultry,wrapped meal"
268196,Butternut Squash and Black Bean Tostadas,228,40 m,"vegetable,nut"
268200,Quince Compote,447,55 m,null
268201,Quince Compote with Vanilla,223,2 h 15 m,null
268223,Simple Ponzu Salad Dressing,110,5 m,condiment
268227,Pinoy Pork Adobo,258,2 h 30 m,null
268231,Instant Pot® Sloppy Joes,413,35 m,null
268233,Instant Pot® French Onion Soup ,487,1 h 30 m,vegetable
268239,Cheesy Cauliflower Risotto with Bacon,282,40 m,"vegetable,grain"
268246,Fantastic Frosting (Dairy Free and Soy Free),162,10 m,main protein
268247,Jack-O'-Crispies,89,55 m,null
268253,Greek Lamb Meatballs in Lemon Sauce ,453,50 m,"fruit,sauce"
268256,Gluten-Free Parmesan Meatballs,382,50 m,meat
268286,Fig and Raisin Bread,279,5 h,bread
268303,Chocolate Christmas Trees,59,8 h 15 m,null
268307,Easy Pan-Fried Fish Fillet,306,15 m,bread
268324,Tom Yum Soup ,291,45 m,dessert
268339,Easy Celery Salad,86,5 m,null
268353,Peruvian Alfajores with Manjar Blanco,227,2 h 10 m,null
268354,Pastel de Choclo ,435,1 h 15 m,null
268367,Rachel's Creamy Rice Pudding,271,45 m,"grain,dessert,fat and vitamins,dairy"
268386,Dairy-Free Chicken Curry,223,40 m,pasta dish
268401,Low-Sugar Peanut Butter Granola Bars,192,35 m,"nut,grain,dessert,cooking fat"
268402,"Toasted Oat Muffins with Apricots, Dates, and Walnuts",215,50 m,"breakfast,nut"
268411,Easy Persimmon Pie,262,1 h 30 m,"fruit,dessert"
268413,Stuffed Chicken Breast Wrapped in Bacon,526,45 m,poultry
268420,Spicy Shrimp Tortilla Soup with Zucchini Noodles,153,35 m,"vegetable,pasta,bread,soup,spicy"
268426,BLT Egg Salad,366,30 m,"breakfast,baking ingredient"
268428,Mini Skillet Buttermilk-Pear Pies,688,1 h 50 m,"fruit,fat and vitamins,dairy"
268431,Cheesecake with Biscoff® Crust,496,6 h 5 m,grain
268433,Pumpkin Log Roll,403,1 h,bread
268462,Butternut Squash Caprese Salad,457,55 m,nut
268465,Avocado Ricotta Crostini,160,40 m,null
268466,Detroit-Style Pizza,354,1 h 35 m,null
268471,ActiFried Chicken and Wheat Stir-Fry,466,45 m,"poultry,vegetable dish"
269148,Instant Pot® Thai-Style Cocktail Wieners,392,20 m,null
270414,Lemon-Ginger Water,8,10 m,"cooking liquid,fruit"
